"JUMPER6" "J401" "unknown"
"Header_Arduino" "J400" "unknown"
"ASx_Series_Oscillator" "U501" "100_MHz"
"ASx_Series_Oscillator" "U500" "60_MHz"
"0402" "R500" "1_K"
"0402" "R501" "1.5_K"
"Test_Point" "TP200" "unknown"
"Test_Point" "TP300" "unknown"
"0402" "R503" "1.5_K"
"WBC9-1LB" "T201" "unknown"
"0402" "C212" "0.01_uF"
"0402" "C206" "0.1_uF"
"0402" "C220" "0.1_uF"
"0402" "C236" "100_pF"
"0603" "C237" "0.01_uF"
"Shield_3" "Sh403" "unknown"
"0603" "C234" "1.0_uF"
"0603" "C233" "1.0_uF"
"AP7353" "U204" "unknown"
"0603" "C222" "1.0_uF"
"0402" "R211" "5.1_K"
"0402" "C221" "820_pF"
"0402" "R210" "240_R"
"0603" "C228" "0.01_uF"
"0402" "C227" "100_pF"
"0603" "C226" "0.01_uF"
"0402" "C224" "100_pF"
"0402" "R220" "1_K"
"0603" "C235" "1_nF"
"0402" "C230" "100_pF"
"0603" "C231" "0.01_uF"
"0603" "C225" "1.0_uF"
"0603" "C239" "0.01_uF"
"0402" "C238" "100_pF"
"0603" "C223" "1.0_uF"
"0805" "C240" "0.012_uF"
"0402" "C241" "0.1_uF"
"0402" "R216" "30.1_R"
"0402" "R219" "90.9_R"
"0402" "C243" "0.1_uF"
"0402" "C242" "100_pF"
"0603" "C334" "1.0_uF"
"0603" "C338" "1.0_uF"
"0603" "C335" "1.0_uF"
"0603" "C341" "0.01_uF"
"0402" "C340" "100_pF"
"0805" "R316" "51_R"
"0805" "R315" "51_R"
"0402" "R215" "1_K"
"0402" "R217" "1.5_K"
"0402" "R312" "1_K"
"0603" "C346" "1_nF"
"0402" "C358" "0.1_uF"
"0402" "C357" "100_pF"
"0402" "R322" "90.9_R"
"0402" "R319" "30.1_R"
"0603" "C352" "0.01_uF"
"0402" "C351" "100_pF"
"0603" "C339" "0.01_uF"
"AP7353" "U308" "unknown"
"0603" "C348" "1.0_uF"
"0603" "C347" "1.0_uF"
"0402" "C319" "0.01_uF"
"AP7353" "U310" "unknown"
"0603" "C360" "1.0_uF"
"0603" "C359" "1.0_uF"
"AP7353" "U309" "unknown"
"0603" "C356" "1.0_uF"
"0402" "C354" "0.1_uF"
"0805" "C353" "0.012_uF"
"0603" "C350" "0.01_uF"
"0402" "C349" "100_pF"
"0603" "C355" "1.0_uF"
"0402" "C343" "100_pF"
"0603" "C344" "0.01_uF"
"MAX2871" "U307" "unknown"
"0402" "C203" "0.01_uF"
"B3741SAWFilter" "FL201" "unknown"
"0402" "C501" "0.01_uF"
"0402" "C500" "0.01_uF"
