.START
..refdes	device	value	footprint	quantity
C305	CAPACITOR	0.1 uF	0402	1
C306	POLARIZED_CAPACITOR	4.7 pF	0402	1
C307	CAPACITOR	0.1 uF	0402	1
C308	CAPACITOR	5 pF	0402	1
C309	CAPACITOR	SAT	0603	1
C310	CAPACITOR	0.1 uF	0402	1
C311	CAPACITOR	0.01 uF	0402	1
C312	CAPACITOR	0.1 uF	0402	1
C313	POLARIZED_CAPACITOR	0.1 uF	0402	1
C314	POLARIZED_CAPACITOR	0.1 uF	0402	1
C315	CAPACITOR	0.1 uF	0402	1
C316	POLARIZED_CAPACITOR	0.01 uF	0402	1
C317	POLARIZED_CAPACITOR	30 pF	0402	1
C318	POLARIZED_CAPACITOR	47 pF	0402	1
C319	POLARIZED_CAPACITOR	0.01 uF	0402	1
C320	CAPACITOR	SAT	0402	1
C321	CAPACITOR	30 pF	0402	1
C322	POLARIZED_CAPACITOR	30 pF	0402	1
C323	POLARIZED_CAPACITOR	30 pF	0402	1
C324	CAPACITOR	0.01 uF	0402	1
C325	POLARIZED_CAPACITOR	SAT	0402	1
C326	POLARIZED_CAPACITOR	SAT	0402	1
C327	POLARIZED_CAPACITOR	SAT	0402	1
C328	CAPACITOR	20 pF	0402	1
C329	CAPACITOR	20 pF	0402	1
C330	CAPACITOR	0.1 uF	0402	1
C331	CAPACITOR	39 pF	0402	1
C332	CAPACITOR	SAT	0603	1
C333	CAPACITOR	820 pF	0402	1
C334	CAPACITOR	1.0 uF	0603	1
C335	CAPACITOR	1.0 uF	0603	1
C336	POLARIZED_CAPACITOR	0.1 uF	0402	1
C337	CAPACITOR	100 pF	0402	1
C338	CAPACITOR	1.0 uF	0603	1
C339	CAPACITOR	0.01 uF	0603	1
C340	CAPACITOR	100 pF	0402	1
C341	CAPACITOR	0.01 uF	0603	1
C342	CAPACITOR	100 pF	0402	1
C343	CAPACITOR	100 pF	0402	1
C344	CAPACITOR	0.01 uF	0603	1
C345	CAPACITOR	100 pF	0402	1
C346	CAPACITOR	1 nF	0603	1
C347	CAPACITOR	1.0 uF	0603	1
C348	CAPACITOR	1.0 uF	0603	1
C349	CAPACITOR	100 pF	0402	1
C350	CAPACITOR	0.01 uF	0603	1
C351	CAPACITOR	100 pF	0402	1
C352	CAPACITOR	0.01 uF	0603	1
C353	CAPACITOR	0.012 uF	0805	1
C354	CAPACITOR	0.1 uF	0402	1
C355	CAPACITOR	1.0 uF	0603	1
C356	CAPACITOR	1.0 uF	0603	1
C357	CAPACITOR	100 pF	0402	1
C358	CAPACITOR	0.1 uF	0402	1
C359	CAPACITOR	1.0 uF	0603	1
C360	CAPACITOR	1.0 uF	0603	1
C500	CAPACITOR	0.01 uF	0402	1
C501	CAPACITOR	0.01 uF	0402	1
FL100	LFCN 3000D+	unknown	LFCN3000D+	1
FL101	LFCN 3000D+	unknown	LFCN3000D+	1
FL200	B3741	unknown	B3741SAWFilter	1
FL201	B3741	unknown	B3741SAWFilter	1
FL202	3600GP15M600	3.6 GHz	Filter_3600BP	1
FL203	3600GP15M600	3.6 GHz	Filter_3600BP	1
FL300	ECS_75SMF	45 MHz	ECS75SMF	1
FL301	ECS_75SMF	45 MHz	ECS75SMF	1
J100	Conn SMA Jack R/A	unknown	AMPHENOL_ARFX1232	1
J400	ARDUINO_UNO_HEADER32	unknown	Header_Arduino	1
J401	HEADER6	unknown	JUMPER6	1
J402	HEADER6	unknown	JUMPER6	1
L100	INDUCTOR	3.3 nH	0402	1
L101	INDUCTOR	22 nH	0603	1
L200	INDUCTOR	36 nH	0402	1
L201	INDUCTOR	10 nH	0402	1
L202	INDUCTOR	100 nH	0603	1
L203	INDUCTOR	68 nH	0603	1
L204	INDUCTOR	68 nH	0603	1
L205	INDUCTOR	68 nH	0603	1
L206	INDUCTOR	68 nH	0603	1
L207	INDUCTOR	36 nH	0402	1
L208	INDUCTOR	100 nH	0603	1
L300	INDUCTOR	82 nH	0805	1
L301	INDUCTOR	390 nH	0805	1
L302	INDUCTOR	100 nH	0603	1
L303	INDUCTOR	390 nH	0805	1
L304	INDUCTOR	100 nH	0603	1
L305	INDUCTOR	390 nH	0805	1
L306	INDUCTOR	390 nH	0805	1
L307	INDUCTOR	680 nH	0805	1
L308	INDUCTOR	390 nH	0805	1
R100	RESISTOR	1 K	0402	1
R101	RESISTOR	1 K	0402	1
R102	RESISTOR	1 K	0402	1
R103	RESISTOR	1.5 K	0402	1
R104	RESISTOR	51 R	0805	1
R105	RESISTOR	50 R	0805	1
R106	RESISTOR	1 K	0402	1
R107	RESISTOR	1.5 K	0402	1
R108	RESISTOR	1.5 K	0402	1
R109	RESISTOR	51 R	0805	1
R110	RESISTOR	1 K	0402	1
R111	RESISTOR	1 K	0402	1
R112	RESISTOR	1 K	0402	1
R113	RESISTOR	51 R	0805	1
R200	RESISTOR	50 R	0805	1
R201	RESISTOR	51 R	0805	1
R202	RESISTOR	110 R	1206	1
R203	RESISTOR	110 R	1206	1
R204	RESISTOR	300 R	0402	1
R205	RESISTOR	300 R	0402	1
R206	RESISTOR	100 R	0402	1
R207	RESISTOR	36 R	0402	1
R208	RESISTOR	300 R	0402	1
R209	RESISTOR	300 R	0402	1
R210	RESISTOR	240 R	0402	1
R211	RESISTOR	5.1 K	0402	1
R212	RESISTOR	51 R	0805	1
R213	RESISTOR	51 R	0805	1
R214	RESISTOR	1 K	0402	1
R215	RESISTOR	1 K	0402	1
R216	RESISTOR	30.1 R	0402	1
R217	RESISTOR	1.5 K	0402	1
R218	RESISTOR	1.5 K	0402	1
R219	RESISTOR	90.9 R	0402	1
R220	RESISTOR	1 K	0402	1
R300	RESISTOR	110 R	1206	1
R301	RESISTOR	110 R	1206	1
R302	RESISTOR	4.7 R	0402	1
R303	RESISTOR	0 R	0603	1
R304	RESISTOR	SAT	0603	1
R305	RESISTOR	SAT	0603	1
R306	RESISTOR	1 K	0402	1
R307	RESISTOR	110 R	1206	1
R308	RESISTOR	4.7 R	0402	1
R309	RESISTOR	110 R	1206	1
R311	RESISTOR	1 K	0402	1
R312	RESISTOR	1 K	0402	1
R313	RESISTOR	240 R	0402	1
R314	RESISTOR	5.1 K	0402	1
R315	RESISTOR	51 R	0805	1
R316	RESISTOR	51 R	0805	1
R317	RESISTOR	1 K	0402	1
R318	RESISTOR	1 K	0402	1
R319	RESISTOR	30.1 R	0402	1
R320	RESISTOR	1.5 K	0402	1
R321	RESISTOR	1.5 K	0402	1
R322	RESISTOR	90.9 R	0402	1
R400	RESISTOR	1.5 K	0402	1
R401	RESISTOR	1 K	0402	1
R500	RESISTOR	1 K	0402	1
R501	RESISTOR	1.5 K	0402	1
R502	RESISTOR	1 K	0402	1
R503	RESISTOR	1.5 K	0402	1
Sh401	SHEILD	unknown	Shield_1	1
Sh402	SHEILD	unknown	Shield_2	1
Sh403	SHEILD	unknown	Shield_3	1
Sh404	SHEILD	unknown	Shield_4	1
Sh405	SHEILD	unknown	Shield_5	1
T200	TC1	unknown	TC1-1-43X	1
T201	TRANSFORMER 	unknown	WBC9-1LB	1
T300	TRANSFORMER 	unknown	WBC9-1LB	1
TP200	TESTPOINT	unknown	Test_Point	1
TP300	TESTPOINT	unknown	Test_Point	1
U100	ADF4356	unknown	ADF4356	1
U101	ERA-2SM+	unknown	WW107	1
U102	MCL-SIM-83+	unknown	SIM83+	1
U103	PE43711	unknown	QFN_PE43711	1
U104	ERA-2SM+	unknown	WW107	1
U200	LTC5562F	unknown	QFN104EP	1
U201	ERA-2SM+	unknown	WW107	1
U202	ERA-2SM+	unknown	WW107	1
U203	MAX2781X	unknown	MAX2871	1
U204	AP7353	unknown	AP7353	1
U300	ERA-2SM+	unknown	WW107	1
U301	AD8307	unknown	SO8	1
U302	AD8605	unknown	SOT25-RJ5	1
U303	LTC5562F	unknown	QFN104EP	1
U304	ERA-2SM+	unknown	WW107	1
U305	AD8307	unknown	SO8	1
U306	AD8605	unknown	SOT25-RJ5	1
U307	MAX2781X	unknown	MAX2871	1
U308	AP7353	unknown	AP7353	1
U309	AP7353	unknown	AP7353	1
U310	AP7353	unknown	AP7353	1
U500	OSCILLATOR	60 MHz	ASx_Series_Oscillator	1
U501	OSCILLATOR	100 MHz	ASx_Series_Oscillator	1
.END
